S.No,District,State,Population,Growth,Sex-Ratio,Literacy
1,Thane,Maharashtra,11060148,0.3601,886,84.53
2,North Twenty Four Parganas,West Bengal,10009781,0.1204,955,84.06
3,Bangalore,Karnataka,9621551,0.4718,916,87.67
4,Pune,Maharashtra,9429408,0.3037,915,86.15
5,Mumbai Suburban,Maharashtra,9356962,0.0829,860,89.91
6,South Twenty Four Parganas,West Bengal,8161961,0.1817,956,77.51
7,Barddhaman,West Bengal,7717563,0.1192,945,76.21
8,Ahmadabad,Gujarat,7214225,0.2403,904,85.31
9,Murshidabad,West Bengal,7103807,0.2109,958,66.59
10,Jaipur,Rajasthan,6626178,0.2619,910,75.51
11,Nashik,Maharashtra,6107187,0.223,934,82.31
12,Surat,Gujarat,6081322,0.4224,787,85.53
13,Allahabad,Uttar Pradesh,5954391,0.2063,901,72.32
14,Paschim Medinipur,West Bengal,5913457,0.1386,966,78
15,Patna,Bihar,5838465,0.2373,897,70.68
16,Hugli,West Bengal,5519145,0.0946,961,81.8
17,Rangareddy,Andhra Pradesh,5296741,0.4816,961,75.87
18,Nadia,West Bengal,5167600,0.1222,947,74.97
19,East Godavari,Andhra Pradesh,5154296,0.0516,1006,70.99
20,Purbi Champaran,Bihar,5099371,0.2943,902,55.79
21,Purba Medinipur,West Bengal,5095875,0.1536,938,87.02
22,Guntur,Andhra Pradesh,4887813,0.0947,1003,67.4
23,Haora,West Bengal,4850029,0.135,939,83.31
24,Muzaffarpur,Bihar,4801062,0.2814,900,63.43
25,Belgaum,Karnataka,4779661,0.1341,973,73.48
26,Moradabad,Uttar Pradesh,4772006,0.2522,906,56.77
27,Ghaziabad,Uttar Pradesh,4681645,0.4227,881,78.07
28,Nagpur,Maharashtra,4653570,0.144,951,88.39
29,Chennai,Tamil Nadu,4646732,0.0698,989,90.18
30,Azamgarh,Uttar Pradesh,4613913,0.1711,1019,70.93
31,Lucknow,Uttar Pradesh,4589838,0.2582,917,77.29
32,Kanpur Nagar,Uttar Pradesh,4581268,0.0992,862,79.65
33,Ahmadnagar,Maharashtra,4543159,0.1244,939,79.05
34,Krishna,Andhra Pradesh,4517398,0.0787,992,73.74
35,Kolkata,West Bengal,4496694,-0.0167,908,86.31
36,Jaunpur,Uttar Pradesh,4494204,0.1489,1024,71.55
37,Madhubani,Bihar,4487379,0.2551,926,58.62
38,Sitapur,Uttar Pradesh,4483992,0.2388,888,61.12
39,Bareilly,Uttar Pradesh,4448359,0.2293,887,58.49
40,Gorakhpur,Uttar Pradesh,4440895,0.1781,950,70.83
41,Agra,Uttar Pradesh,4418797,0.2205,868,71.58
42,Gaya,Bihar,4391418,0.2643,937,63.67
43,Solapur,Maharashtra,4317756,0.1216,938,77.02
44,Visakhapatnam,Andhra Pradesh,4290589,0.1196,1006,66.91
45,Samastipur,Bihar,4261566,0.2553,911,61.86
46,Jalgaon,Maharashtra,4229917,0.1486,925,78.2
47,Chittoor,Andhra Pradesh,4174064,0.1143,997,71.53
48,Vadodara,Gujarat,4165626,0.1438,934,78.92
